audioUrl,author,authorLink,duration,id,imageUrl,shareUrl,sourceFile,tags,title,url,videoUrl
https://cdn1.suno.ai/56f7119e-8f43-40bc-b0cd-7596047dc381.mp3,,,,56f7119e-8f43-40bc-b0cd-7596047dc381,,https://suno.com/s/56f7119e,suno-songs.html,,in This aLLey Where i HiDe-oG (Remix)254,https://suno.com/song/56f7119e-8f43-40bc-b0cd-7596047dc381,
https://cdn1.suno.ai/de1aed52-be0d-4660-ae4d-2a760696853b.mp3,,,,de1aed52-be0d-4660-ae4d-2a760696853b,,https://suno.com/s/de1aed52,suno-songs.html,,in This aLLey Where i HiDe-oG (Remix)244,https://suno.com/song/de1aed52-be0d-4660-ae4d-2a760696853b,
https://cdn1.suno.ai/b9a2556f-98f3-410f-a96e-6122e37181e0.mp3,,,,b9a2556f-98f3-410f-a96e-6122e37181e0,,https://suno.com/s/b9a2556f,suno-songs.html,,in This aLLey Where i HiDe-oG (Remix)252,https://suno.com/song/b9a2556f-98f3-410f-a96e-6122e37181e0,
https://cdn1.suno.ai/24b9cacc-785a-48ef-ac9b-4a6f866acfa8.mp3,,,,24b9cacc-785a-48ef-ac9b-4a6f866acfa8,,https://suno.com/s/24b9cacc,suno-songs.html,,Love is rubbish Let's Get Trashy (Remix)234,https://suno.com/song/24b9cacc-785a-48ef-ac9b-4a6f866acfa8,
https://cdn1.suno.ai/3062fd99-8a87-4d5c-be4b-ea4ccaaf92f1.mp3,,,,3062fd99-8a87-4d5c-be4b-ea4ccaaf92f1,,https://suno.com/s/3062fd99,suno-songs.html,,Love is rubbish Let's Get Trashy (plucky indieRemix)257,https://suno.com/song/3062fd99-8a87-4d5c-be4b-ea4ccaaf92f1,
https://cdn1.suno.ai/1542b5ab-ca94-4b98-9d09-4d0a3488ba55.mp3,,,,1542b5ab-ca94-4b98-9d09-4d0a3488ba55,,https://suno.com/s/1542b5ab,suno-songs.html,,Love is rubbish Let's Get Trashy (Remix)329,https://suno.com/song/1542b5ab-ca94-4b98-9d09-4d0a3488ba55,
https://cdn1.suno.ai/f16f50e8-e6a8-402e-9bf0-3189051ba02d.mp3,,,,f16f50e8-e6a8-402e-9bf0-3189051ba02d,,https://suno.com/s/f16f50e8,suno-songs.html,,Love is rubbish Let's Get Trashy (Remix)304,https://suno.com/song/f16f50e8-e6a8-402e-9bf0-3189051ba02d,
https://cdn1.suno.ai/96d1d0ae-938a-43e4-a865-7bbe9f887a7d.mp3,,,,96d1d0ae-938a-43e4-a865-7bbe9f887a7d,,https://suno.com/s/96d1d0ae,suno-songs.html,,Love is rubbish Let's Get Trashy (Remix)304-folk,https://suno.com/song/96d1d0ae-938a-43e4-a865-7bbe9f887a7d,
https://cdn1.suno.ai/53098d92-3954-432a-8882-f9192d331f44.mp3,,,,53098d92-3954-432a-8882-f9192d331f44,,https://suno.com/s/53098d92,suno-songs.html,,Love is rubbish Let's Get Trashy (Remix)304-acoustic-FOLK-rock,https://suno.com/song/53098d92-3954-432a-8882-f9192d331f44,
https://cdn1.suno.ai/d2d132fa-727b-4e83-95aa-902ecd507cfd.mp3,,,,d2d132fa-727b-4e83-95aa-902ecd507cfd,,https://suno.com/s/d2d132fa,suno-songs.html,,Love is rubbish Let's Get Trashy (Remix)244,https://suno.com/song/d2d132fa-727b-4e83-95aa-902ecd507cfd,
https://cdn1.suno.ai/2c91e850-b9af-4ba8-82e6-38c44c1629cb.mp3,,,,2c91e850-b9af-4ba8-82e6-38c44c1629cb,,https://suno.com/s/2c91e850,suno-songs.html,,Love is rubbish Let's Get Trashy (FeRaLFiddle)254❤️,https://suno.com/song/2c91e850-b9af-4ba8-82e6-38c44c1629cb,
https://cdn1.suno.ai/1572567c-7e26-4f41-ae75-27334cd3cdf2.mp3,,,,1572567c-7e26-4f41-ae75-27334cd3cdf2,,https://suno.com/s/1572567c,suno-songs.html,,Love is rubbish Let's Get Trashy (Banjo Remix)259*,https://suno.com/song/1572567c-7e26-4f41-ae75-27334cd3cdf2,
https://cdn1.suno.ai/77db3d35-e7a1-4a71-ae6d-0c67ac084aec.mp3,,,,77db3d35-e7a1-4a71-ae6d-0c67ac084aec,,https://suno.com/s/77db3d35,suno-songs.html,,Love is rubbish Let's Get Trashy (BanjoBandit)308,https://suno.com/song/77db3d35-e7a1-4a71-ae6d-0c67ac084aec,
https://cdn1.suno.ai/576dfa5e-1b2a-43b0-8f4b-5222ff130d99.mp3,,,,576dfa5e-1b2a-43b0-8f4b-5222ff130d99,,https://suno.com/s/576dfa5e,suno-songs.html,,Love is rubbish Let's Get Trashy (Remix)318,https://suno.com/song/576dfa5e-1b2a-43b0-8f4b-5222ff130d99,
https://cdn1.suno.ai/cfe7913b-8ffb-494a-9154-88435cfdc735.mp3,,,,cfe7913b-8ffb-494a-9154-88435cfdc735,,https://suno.com/s/cfe7913b,suno-songs.html,,Love is rubbish Let's Get Trashy (rustyfunk)317,https://suno.com/song/cfe7913b-8ffb-494a-9154-88435cfdc735,
https://cdn1.suno.ai/67176ff5-c965-4933-99fb-dd8988f95c2a.mp3,,,,67176ff5-c965-4933-99fb-dd8988f95c2a,,https://suno.com/s/67176ff5,suno-songs.html,,In The Hollow156-pt2,https://suno.com/song/67176ff5-c965-4933-99fb-dd8988f95c2a,
https://cdn1.suno.ai/85e98d0c-15d9-4a55-9c43-0a0dc8159c4e.mp3,,,,85e98d0c-15d9-4a55-9c43-0a0dc8159c4e,,https://suno.com/s/85e98d0c,suno-songs.html,,In The Hollow239,https://suno.com/song/85e98d0c-15d9-4a55-9c43-0a0dc8159c4e,
https://cdn1.suno.ai/b36649c8-6891-44b7-835b-19d5284ad87e.mp3,,,,b36649c8-6891-44b7-835b-19d5284ad87e,,https://suno.com/s/b36649c8,suno-songs.html,,Willow Tree (Remix)-154,https://suno.com/song/b36649c8-6891-44b7-835b-19d5284ad87e,
https://cdn1.suno.ai/9f998d2b-2887-41d5-83d8-15f075f31dfe.mp3,,,,9f998d2b-2887-41d5-83d8-15f075f31dfe,,https://suno.com/s/9f998d2b,suno-songs.html,,Powerful154,https://suno.com/song/9f998d2b-2887-41d5-83d8-15f075f31dfe,
https://cdn1.suno.ai/bba829a1-a97b-4eb9-b54c-11a0d0f10d08.mp3,,,,bba829a1-a97b-4eb9-b54c-11a0d0f10d08,,https://suno.com/s/bba829a1,suno-songs.html,,Powerful233,https://suno.com/song/bba829a1-a97b-4eb9-b54c-11a0d0f10d08,
https://cdn1.suno.ai/ef17743e-d239-435d-b38e-471feb8ea015.mp3,,,,ef17743e-d239-435d-b38e-471feb8ea015,,https://suno.com/s/ef17743e,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered) (Remix)229,https://suno.com/song/ef17743e-d239-435d-b38e-471feb8ea015,
https://cdn1.suno.ai/86f949bc-6614-4bb4-922a-9c196c19b289.mp3,,,,86f949bc-6614-4bb4-922a-9c196c19b289,,https://suno.com/s/86f949bc,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered) (Remix)218,https://suno.com/song/86f949bc-6614-4bb4-922a-9c196c19b289,
https://cdn1.suno.ai/3f2ca271-e175-4e56-82aa-86a364b0d9b0.mp3,,,,3f2ca271-e175-4e56-82aa-86a364b0d9b0,,https://suno.com/s/3f2ca271,suno-songs.html,,Heroes Rise  - Villains Overthrow (Remastered) (Remix)227,https://suno.com/song/3f2ca271-e175-4e56-82aa-86a364b0d9b0,
